id,uploaded_documents,interview_preference,subscribed_to_reminders
227,0,Telephone,TRUE
230,2,Telephone,TRUE
231,0,Telephone,TRUE
235,0,Telephone,TRUE
239,0,Telephone,TRUE
245,0,Telephone,TRUE
244,0,Telephone,TRUE
252,0,Telephone,TRUE
250,7,Telephone,TRUE
254,0,Telephone,TRUE
253,0,Telephone,TRUE
257,0,Telephone,TRUE
258,0,Telephone,TRUE
260,0,Telephone,TRUE
259,5,In-person,TRUE
261,0,Telephone,TRUE
3,5,Telephone,FALSE
6,3,Telephone,FALSE
17,0,Telephone,TRUE
18,0,In-person,TRUE
20,0,Telephone,TRUE
44,0,Telephone,TRUE
71,0,In-person,TRUE
61,0,Telephone,TRUE
76,0,Telephone,FALSE
79,0,Telephone,TRUE
88,0,Telephone,TRUE
90,5,Telephone,TRUE
102,0,Telephone,TRUE
117,0,Telephone,TRUE
125,0,Telephone,TRUE
156,0,Telephone,TRUE
168,0,Telephone,TRUE
171,5,Telephone,TRUE
189,0,Telephone,TRUE
193,0,Telephone,TRUE
199,0,Telephone,TRUE
204,0,Telephone,TRUE
210,0,Telephone,TRUE
211,0,Telephone,TRUE
349,0,Telephone,TRUE
350,0,Telephone,TRUE
352,0,Telephone,TRUE
357,0,Telephone,TRUE
361,0,Telephone,TRUE
362,0,In-person,TRUE
364,0,Telephone,TRUE
220,0,Telephone,TRUE
221,0,Telephone,TRUE
228,0,Telephone,TRUE
233,0,Telephone,TRUE
236,0,In-person,TRUE
238,0,Telephone,TRUE
241,0,In-person,TRUE
246,0,Telephone,TRUE
248,0,In-person,TRUE
249,0,Telephone,TRUE
256,0,Telephone,TRUE
2,1,Telephone,FALSE
14,2,Telephone,FALSE
16,0,Telephone,TRUE
22,0,Telephone,TRUE
24,0,Telephone,TRUE
27,0,Telephone,TRUE
39,0,Telephone,TRUE
62,0,Telephone,TRUE
91,0,Telephone,TRUE
127,0,Telephone,TRUE
133,0,Telephone,TRUE
359,1,Telephone,TRUE
167,0,Telephone,TRUE
170,0,In-person,TRUE
179,0,Telephone,TRUE
191,0,In-person,TRUE
195,0,Telephone,TRUE
200,0,Telephone,TRUE
213,0,Telephone,TRUE
348,0,Telephone,TRUE
354,0,Telephone,FALSE
360,0,Telephone,TRUE
356,0,Telephone,TRUE
365,0,Telephone,TRUE
262,0,Telephone,TRUE
218,0,In-person,TRUE
63,3,Telephone,TRUE
217,2,Telephone,TRUE
222,0,Telephone,TRUE
224,0,Telephone,TRUE
598,0,Telephone,TRUE
229,0,Telephone,TRUE
270,0,Telephone,TRUE
242,0,Telephone,TRUE
247,0,Telephone,TRUE
251,0,Telephone,TRUE
255,5,Telephone,TRUE
271,0,Telephone,TRUE
272,0,In-person,TRUE
10,0,Telephone,TRUE
19,0,Telephone,TRUE
597,0,Telephone,TRUE
42,0,Telephone,TRUE
83,0,Telephone,TRUE
145,0,In-person,TRUE
437,0,Telephone,TRUE
444,0,Telephone,TRUE
445,0,In-person,TRUE
447,0,Telephone,TRUE
448,0,Telephone,TRUE
454,4,Telephone,TRUE
455,0,Telephone,TRUE
456,0,Telephone,TRUE
457,0,Telephone,TRUE
458,0,Telephone,TRUE
459,0,Telephone,TRUE
461,0,In-person,TRUE
460,3,Telephone,TRUE
463,0,Telephone,TRUE
464,0,Telephone,TRUE
476,0,Telephone,TRUE
482,1,Telephone,TRUE
483,0,Telephone,TRUE
489,1,Telephone,TRUE
491,0,Telephone,TRUE
426,0,Telephone,TRUE
430,0,Telephone,TRUE
431,0,In-person,TRUE
432,2,Telephone,TRUE
433,0,Telephone,TRUE
441,0,Telephone,TRUE
547,5,Telephone,TRUE
446,0,Telephone,TRUE
596,0,Telephone,TRUE
449,0,Telephone,TRUE
450,0,Telephone,TRUE
452,0,Telephone,TRUE
453,0,Telephone,TRUE
462,0,Telephone,TRUE
466,0,Telephone,TRUE
467,2,Telephone,TRUE
473,2,Telephone,FALSE
469,2,Telephone,FALSE
471,3,Telephone,FALSE
470,0,Telephone,TRUE
468,2,Telephone,FALSE
472,0,Telephone,FALSE
474,0,Telephone,TRUE
478,0,Telephone,TRUE
492,0,Telephone,TRUE
434,1,Telephone,TRUE
436,0,Telephone,TRUE
438,0,Telephone,TRUE
443,1,In-person,TRUE
465,0,Telephone,TRUE
475,5,Telephone,TRUE
477,0,In-person,TRUE
486,0,Telephone,TRUE
484,1,Telephone,TRUE
487,0,Telephone,TRUE
488,2,Telephone,TRUE
428,0,Telephone,TRUE
481,1,Telephone,TRUE
427,0,Telephone,TRUE
435,1,Telephone,TRUE
439,0,Telephone,TRUE
479,0,In-person,TRUE
485,0,Telephone,TRUE
442,1,Telephone,TRUE
451,0,Telephone,TRUE
490,0,Telephone,TRUE
480,1,Telephone,TRUE
495,0,Telephone,TRUE
429,0,Telephone,TRUE
440,0,Telephone,TRUE
494,1,Telephone,TRUE
497,0,Telephone,TRUE
496,2,Telephone,TRUE
498,0,Telephone,TRUE
499,1,Telephone,TRUE
500,1,Telephone,TRUE
501,0,Telephone,TRUE
505,0,Telephone,TRUE
502,0,Telephone,TRUE
503,0,Telephone,TRUE
504,1,Telephone,TRUE
506,0,In-person,TRUE
507,0,Telephone,TRUE
508,0,Telephone,TRUE
509,0,Telephone,TRUE
511,4,Telephone,TRUE
510,0,In-person,TRUE
512,1,Telephone,TRUE
513,4,Telephone,FALSE
514,0,Telephone,TRUE
516,0,Telephone,TRUE
515,1,Telephone,TRUE
518,0,Telephone,TRUE
517,3,Telephone,TRUE
519,0,Telephone,TRUE
520,0,Telephone,TRUE
521,0,Telephone,TRUE
522,0,Telephone,TRUE
523,0,Telephone,TRUE
524,0,In-person,TRUE
525,2,Telephone,TRUE
526,2,Telephone,TRUE
527,0,Telephone,TRUE
528,0,Telephone,TRUE
529,0,Telephone,TRUE
530,0,Telephone,TRUE
531,1,Telephone,TRUE
532,0,Telephone,TRUE
533,0,Telephone,TRUE
536,0,Telephone,TRUE
534,0,Telephone,TRUE
535,0,Telephone,TRUE
537,2,Telephone,TRUE
538,0,Telephone,TRUE
539,0,Telephone,TRUE
540,1,Telephone,TRUE
541,0,Telephone,TRUE
542,0,Telephone,TRUE
543,0,Telephone,TRUE
545,0,In-person,TRUE
544,0,Telephone,TRUE
546,0,Telephone,TRUE
549,0,Telephone,FALSE
548,0,Telephone,TRUE
550,0,Telephone,TRUE
551,0,Telephone,TRUE
552,0,Telephone,TRUE
553,0,Telephone,TRUE
554,0,Telephone,TRUE
555,0,Telephone,TRUE
556,0,In-person,TRUE
557,0,Telephone,FALSE
558,0,Telephone,TRUE
561,2,Telephone,TRUE
562,1,Telephone,TRUE
559,0,Telephone,TRUE
560,0,Telephone,TRUE
565,1,Telephone,TRUE
563,0,Telephone,TRUE
564,0,Telephone,TRUE
567,2,Telephone,TRUE
566,0,Telephone,TRUE
568,1,Telephone,TRUE
569,0,In-person,TRUE
570,0,Telephone,TRUE
571,0,Telephone,TRUE
572,0,Telephone,TRUE
573,0,Telephone,TRUE
574,2,Telephone,TRUE
575,0,Telephone,TRUE
576,4,In-person,TRUE
577,0,Telephone,TRUE
583,0,In-person,TRUE
578,1,Telephone,TRUE
579,1,Telephone,TRUE
580,1,Telephone,TRUE
581,0,Telephone,TRUE
582,0,In-person,TRUE
584,0,Telephone,TRUE
586,0,In-person,TRUE
585,0,Telephone,TRUE
587,0,Telephone,TRUE
588,0,Telephone,TRUE
589,0,In-person,FALSE
590,1,Telephone,TRUE
591,2,Telephone,TRUE
592,0,Telephone,TRUE
593,0,Telephone,TRUE
594,0,Telephone,TRUE
595,0,Telephone,TRUE
